name,photo
"Anderson, Michael P.",https://upload.wikimedia.org/wikipedia/commons/6/67/Michael_P._Anderson.jpg
"Brown, David M.",https://upload.wikimedia.org/wikipedia/commons/0/04/David_M._Brown%2C_NASA_photo_portrait_in_orange_suit.jpg
"Chawla, Kalpana",https://upload.wikimedia.org/wikipedia/commons/9/9c/Kalpana_Chawla%2C_NASA_photo_portrait_in_orange_suit.jpg
"Clark, Laurel B.",https://upload.wikimedia.org/wikipedia/commons/2/24/Laurel_Clark%2C_NASA_photo_portrait_in_blue_suit.jpg
"Dobrovolski, Georgi",https://upload.wikimedia.org/wikipedia/en/b/b0/Georgy_Dobrovolsky.jpg
"Husband, Rick D.",https://upload.wikimedia.org/wikipedia/commons/2/20/Richard_Husband%2C_NASA_photo_portrait_in_orange_suit.jpg
"Jarvis, Gregory Bruce",https://upload.wikimedia.org/wikipedia/commons/1/13/Gregory_Jarvis_%28NASA%29_cropped.jpg
"Komarov, Vladimir",https://upload.wikimedia.org/wikipedia/en/d/d2/Vladimir_Mikhailovich_Komarov_photo_portrait.jpg
"McAuliffe, Sharon Christa Corrigan",https://upload.wikimedia.org/wikipedia/commons/a/aa/ChristaMcAuliffe.jpg
"McCool, William C.",https://upload.wikimedia.org/wikipedia/commons/c/c5/William_Cameron_McCool.jpg
"McNair, Ronald E.",https://upload.wikimedia.org/wikipedia/commons/d/dd/Ronald_McNair_%28S78-35300%29.jpg
"Onizuka, Ellison S.",https://upload.wikimedia.org/wikipedia/commons/c/ce/Ellison_Shoji_Onizuka_%28NASA%29.jpg
"Patsayev, Viktor",https://upload.wikimedia.org/wikipedia/en/1/1e/Viktor_Ivanovich_Patsayev.jpg
"Ramon, Ilan",https://upload.wikimedia.org/wikipedia/commons/9/97/Ilan_Ramon.jpg
"Resnik, Judith A.",https://upload.wikimedia.org/wikipedia/commons/1/1f/Judith_A._Resnik%2C_official_portrait_%28cropped%29.jpg
"Scobee, Francis R.",https://upload.wikimedia.org/wikipedia/commons/4/42/Scobee-fr.jpg
"Smith, Michael John",https://upload.wikimedia.org/wikipedia/commons/a/a8/Michael_Smith_%28NASA%29.jpg
"Volkov, Vladislav",https://upload.wikimedia.org/wikipedia/en/d/d8/Kosmonaut_Vladislav_Volkov.jpg